record_calendar_year,record_calendar_month,record_calendar_day,tot_pub_debt_out_amt
2023,03,31,31458437575028.18
2022,01,31,30012386059238.29
2022,10,31,31238301149359.52
2022,03,31,30400959928180.97
2023,07,31,32608585072666.14
2024,01,31,34191150402393.64
2023,10,31,33699580339128.49
2022,08,31,30936075214882.41
2022,05,31,30499618521246.79
2023,08,31,32914149363760.95
2023,01,31,31454982227739.16
2023,05,31,31464457465522.98
1993,08,31,4403247046170.58
1993,12,31,4535687054406.14
1995,01,31,4815826745802.15
1995,03,31,4864115841256.92
1994,05,31,4609296212021.38
1994,08,31,4691991360873.49
1995,05,31,4903925978763.93
1995,08,31,4970755679060.21
2005,03,31,7776939047670.14
1995,10,31,4985262110021.06
1996,07,31,5188888625925.87
2021,03,31,28132570303600.16
1996,10,31,5247319617599.91
1997,03,31,5380889857391.59
1997,07,31,5373228560474.27
1997,10,31,5427225185059.66
1997,12,31,5502388012375.95
1998,07,31,5527738221101.41
1998,08,31,5564553479478.04
1998,12,31,5614217021195.87
1999,03,31,5651615289284.87
1999,08,31,5672386167530.41
1999,12,31,5776091314225.33
2000,03,31,5773391634682.91
2000,07,31,5658807449906.68
2000,08,31,5677822307077.83
2000,10,31,5657327531667.14
2001,07,31,5718303095621.12
2001,01,31,5716070587057.36
2001,08,31,5769875781034.48
2001,12,31,5943438563436.13
2002,01,31,5937228743476.27
2001,10,31,5815983290402.24
2002,07,31,6159740790009.39
2002,05,31,6019332312247.55
2002,12,31,6405707456847.53
2003,01,31,6401376662047.32
2002,10,31,6282527974378.50
2003,03,31,6460776256578.16
2003,10,31,6872675839106.67
2021,08,31,28427317184527.64
2004,03,31,7131067950647.32
2004,12,31,7596142802424.14
2005,05,31,7777880152594.89
2005,10,31,8027123404214.36
2006,01,31,8196070437599.52
2006,03,31,8371156293376.33
2006,05,31,8356776604649.14
2006,07,31,8444346806853.08
2006,08,31,8515033652079.62
2006,10,31,8584329355565.37
2007,01,31,8707561063967.12
2007,05,31,8828992459660.72
2007,07,31,8932438299899.54
2007,08,31,9005648561262.70
2007,10,31,9079086185866.28
2007,12,31,9229172659218.31
2008,01,31,9238008288942.11
2008,03,31,9437594138091.39
2008,07,31,9585479639200.33
2008,10,31,10574094462968.23
2008,12,31,10699804864612.13
2009,03,31,11126941485713.37
2009,08,31,11812870150873.53
2009,07,31,11669251349504.65
2009,12,31,12311349677512.03
2010,03,31,12773123096139.43
2010,08,31,13449652537035.05
2010,12,31,14025215218708.52
2011,01,31,14131051056010.84
2011,03,31,14270114530800.38
2011,05,31,14344668281211.01
2011,08,31,14684292994743.93
2011,10,31,14993709044140.78
2012,01,31,15356140493616.06
2012,05,31,15770685085364.14
2012,07,31,15933234637493.55
2012,08,31,16015769788215.80
2012,10,31,16261470510720.74
2012,12,31,16432730050569.12
2013,01,31,16433791850294.04
2013,05,31,16738821943986.12
2013,07,31,16738599194294.87
2013,10,31,17156117102204.49
2014,01,31,17293019654983.61
2013,12,31,17351970784950.15
2014,03,31,17601227291213.89
2014,07,31,17687136723410.59
